reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion
dc7e79b9-8d9f-43f5-82b2-e1fb7a983f20,John Carter,https://play-lh.googleusercontent.com/a-/ALV-UjVzxD8_9g6vXnnUWPLJdBPDgmZaqr5r2ejv4r87zLVmNjbZN6nV,it won't let me play the song 😭,1,0,8.8.96.364,2025-07-26 00:13:19,"Hey there! We understand your concern about the app. We'd love to get some more info about this. If you have the time, give our Customer Service a shout. You can find them by heading to support.spotify.com and searching ""Contact us"".",2025-07-26 09:24:27,8.8.96.364
32307ca7-c256-4b6d-8a7f-2aa08c740f12,Keith Johnson,https://play-lh.googleusercontent.com/a/ACg8ocInprDL_6QszZ4_M0SetAn5jNy2Yo-GVpfeeBPLAry5ldastw=mo,"What changed? Nobody knows, the ""What's New"" info here in Google Play never changes. 41 updates in a row.",1,3,9.0.64.608,2025-07-26 00:08:54,"Hey there! We understand your concern about the app. We'd love to get some more info about this. If you have the time, give our Customer Service a shout. You can find them by heading to support.spotify.com and searching ""Contact us"".",2025-07-16 11:34:12,9.0.64.608
c9ba7776-1cdb-42a3-af99-d40d7091beec,Waryoba Ibrahim,https://play-lh.googleusercontent.com/a-/ALV-UjWV3kwuVibdSrP6685gslFymMzL7oUZf_09bUClFEh61LpKSq4,good app,5,0,,2025-07-26 00:03:55,,,
2dc32e9d-e20f-4ee0-877e-7571fc5e2528,Savita,https://play-lh.googleusercontent.com/a/ACg8ocLcpZXTN12VUERtRk8nLwgmkw6nyOxLkcyHRt9c9RpuWjsVyA=mo,nice,5,0,,2025-07-26 00:02:25,,,
b62a47f8-c6f4-401d-8bf6-fdbd24e57391,Nilukshan Krishan,https://play-lh.googleusercontent.com/a-/ALV-UjUQQMmBh25MCycg5t_ppmXinmLsqm9cagpWkmGlH6Qhgr8l2WWY,super..💫❤️,5,0,9.0.62.622,2025-07-26 00:02:04,,,9.0.62.622
f2b6257a-9d66-4184-8468-497d49339887,Ram Ekbal Dubey,https://play-lh.googleusercontent.com/a/ACg8ocJBchIozx4175mUh1jBfLR1SJBtXdeqyWrDneJOCsYM8FoPLA=mo,great,4,0,9.0.62.622,2025-07-26 00:01:02,,,9.0.62.622
1da53719-5c34-4dfd-baf8-0e3265633afa,Banshidhar Kanha,https://play-lh.googleusercontent.com/a-/ALV-UjWt2fWMDa1AvwKHYfjlUZXzoXCUYfU3ldORlwgQTdi8_RrhEDpr,garbage material for online music streaming 😍😍,1,0,8.8.74.652,2025-07-26 00:00:55,,,8.8.74.652
f0e882a3-d5e1-4e2a-a31c-783ee87f80c1,Abhishek Kumar,https://play-lh.googleusercontent.com/a/ACg8ocKgA14YUWvUA2QxhUynyG7-3u_zvtsncwO67LvR5S7QGEFx0g=mo,Amazing 😍,5,0,,2025-07-25 23:55:27,,,
97858f11-3abb-41e6-a1ed-3657546362d8,Marie Preiser,https://play-lh.googleusercontent.com/a/ACg8ocKpigqeJkHs3-oAuNnMdSk6XZ7o3uurbIhVL88dt7pmDcMOjWo=mo,"Awful if you just want to listen to a self created playlist, how is this the go to music app?",1,0,9.0.64.608,2025-07-25 23:55:22,,,9.0.64.608
f44cb5d8-9823-42e7-8a74-c1a9377664b1,vishal pinjar,https://play-lh.googleusercontent.com/a-/ALV-UjVt-SAM3tR9tyRSShM0KlhGSeWxXMp9lp6cDOwUJ9PBXGbcqVrD,very beautifully amazing worst app....,1,0,,2025-07-25 23:54:20,,,
146e2e85-e679-4056-8d7a-aedbb0b215a9,Celeo Moreno,https://play-lh.googleusercontent.com/a-/ALV-UjWxWBG5tBVvDDTGzEpgBDnorNPJ8_76pNczcUUISOgloCvFQ0XR,"I had to delete it because I can't make it stop playing everytime I end a call, connect to the car or headphones. so annoying that I had to uninstall it.",2,0,9.0.64.608,2025-07-25 23:51:42,"Hi. We appreciate you reporting this to us. Have you tried a quick reinstall? If that doesn't help, we'd recommend reaching out to our Customer Service at support.spotify.com. Just search “Contact Us”, and they'll be happy to help.",2025-07-26 09:20:37,9.0.64.608
5793fa62-dc14-49ef-949f-6e53fc5a6e11,Hammad tariq Hammad tariq,https://play-lh.googleusercontent.com/a/ACg8ocJ0oVmJYHvDj0Wc0T2q5eoTAxQn_Y4G-wjKsWbyVsZGRn9Ocg=mo,satisfactory,3,0,9.0.62.622,2025-07-25 23:50:30,,,9.0.62.622
0d254c59-72c1-49e8-a0c8-57411a7a5aeb,Cota Bstone,https://play-lh.googleusercontent.com/a/ACg8ocLMx3ZUmj04F-HK_T37Vqev5eKMqJ7jAmeGsKxp-JnP-BatqQ=mo,its fantastic,5,0,9.0.62.622,2025-07-25 23:46:45,,,9.0.62.622
1ac65af3-b118-462d-b063-08d6a10c53d0,ᴋɪɴɢ's ᴏғ ᴋɪɴɢ,https://play-lh.googleusercontent.com/a-/ALV-UjX6mHz5rKMJSSdlFgZ9rcGATRLxXT0yJeF5HoRtuhdMO-M9uXjp0w,too damn ads man ?,1,0,9.0.42.529,2025-07-25 23:42:32,,,9.0.42.529
2443984b-3806-477c-bd14-953202d348b0,Jesse Corn,https://play-lh.googleusercontent.com/a/ACg8ocIrtjhXwG8gGBSN2caTFL0DGMXjoAf445eCmbIPnJHrAqV6XQ=mo,as long as I have worship music:::; ),5,0,9.0.62.622,2025-07-25 23:42:18,,,9.0.62.622
953cbf21-dee9-4167-b5e0-4ea20adb0e7b,Wira ACThinc,https://play-lh.googleusercontent.com/a-/ALV-UjUZZdw2zEP3aTrvMgZe00jGAaM8JGI8lXaptGyOg0KU42iYpyD6ug,Now going bad,1,0,9.0.62.622,2025-07-25 23:40:06,,,9.0.62.622
d9fca9bf-c348-4942-bc2b-f8b9858badec,Logy Mohamed,https://play-lh.googleusercontent.com/a/ACg8ocIXsUHPEbbFh4gYCojAucVidQNnLlu35NXgXDlVhz1MemMbOw=mo,👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻badddddd,1,0,,2025-07-25 23:40:01,,,
757f3fa0-a155-4ec4-b0dd-edb82372bc80,Ryan “JustLeppo” Leppo,https://play-lh.googleusercontent.com/a/ACg8ocLaMi5x0xMC0RRxydi1EDy7rXwl3HVvIyfKjQTZwUR2uN3nhu8K=mo,"1) ""now enjoy the next 30 minutes of ad free music"" 2) 3 minute song plays 3) ads",1,0,9.0.62.622,2025-07-25 23:36:59,,,9.0.62.622
faa46f7f-55b8-45ab-976f-5b44649382ce,Ismile Sekh,https://play-lh.googleusercontent.com/a-/ALV-UjWWNy9QePgY3SQqFoZeIFmwJsH8vP4vABKcZvhjdIi3kIlvinyr,nice,4,0,,2025-07-25 23:36:27,,,
a5b6a991-cc0e-4f63-a93d-450eb3bb30b4,Brayan,https://play-lh.googleusercontent.com/a-/ALV-UjX2ffGoJvFS331kyANFXzHvUtCTQWtt3dbu2weRvjQd4qWS8VEu,It's a good app but why did the price increase a little💔,5,0,9.0.62.622,2025-07-25 23:33:19,,,9.0.62.622
c07db55c-78dc-4be5-99af-5d6948b55e4e,Kent Gonzales,https://play-lh.googleusercontent.com/a-/ALV-UjUYcnc1r3wCTuGnQpkr0iL_6GXC1-oA-DQmRJ7yViD6Q0URUaQ8,Nuicee 🙂,5,0,9.0.22.543,2025-07-25 23:32:02,,,9.0.22.543
d080ddeb-52be-4f6e-96ef-3f0a8488f245,amry kalimas,https://play-lh.googleusercontent.com/a-/ALV-UjWWQFbrX9Y7EKM_aUMJu1dvXRc5izDfB_nQAUX_29ciC_UZSKA,inaniwezesha kucheza muziki hata kama sipo kwenye app hivyo naweza endelea sikiliza ilhali nafanya vitu vingine kwenye app zingine tofauti,4,0,9.0.62.622,2025-07-25 23:30:44,,,9.0.62.622
