reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion,content_vader,content_ml,cleaned_content,sentiment_score,sentiment_label
c0eea544-9395-4bc0-8b93-d7cdffcd6de2,Pampa Sil,https://play-lh.googleusercontent.com/a/ACg8ocKuYHIAJbsIf5IHroti_Xsxt8ux4LeGKIlZOU_ZOHUeEQcCfg=mo,very good app,5,0,9.0.62.622,2025-07-25 22:40:53,,,9.0.62.622,very good app,very good app,good,0.4927,positive
1e386067-ef34-4794-be2c-2d6aa4ac60e8,Lisa Park,https://play-lh.googleusercontent.com/a-/ALV-UjX_yDfPYQdjNLV7LrcbxsofQfPCKxowIL0iRYz06bfUVDaq5OC2,I LOVEE spotify defenetly the best music and podcast app ever. literally recommending to everyone,5,0,9.0.62.622,2025-07-25 23:00:15,,,9.0.62.622,I LOVEE spotify defenetly the best music and podcast app ever. literally recommending to everyone,i lovee spotify defenetly the best music and podcast app ever literally recommending to everyone,lovee defenetly best podcast ever literally recommending everyone,0.6369,positive
b02c1742-1589-4768-84d7-763a88a0ecb7,Ahmed Nabil369,https://play-lh.googleusercontent.com/a/ACg8ocLGgh9pxAAm_tIRpVDRsdsP9GDUqYmK7l3ZdzqDMljWpBnCKQ=mo,its have many ads and so poor quality of the song,1,0,9.0.62.622,2025-07-25 19:21:55,,,9.0.62.622,its have many ads and so poor quality of the song,its have many ads and so poor quality of the song,many ads poor quality,-0.6113,negative
94cadec4-aae2-42bd-963a-bd263bac888f,Mukesh Roy,https://play-lh.googleusercontent.com/a-/ALV-UjU3hUDQS9CvhEpfjSDXYK_Olz-eYRDjXVcUEtJzKCsVK5RJz3Uk,good,5,0,9.0.62.622,2025-07-25 21:36:00,,,9.0.62.622,good,good,good,0.4404,positive
7655a92d-7f76-4fd8-a5d6-cb0d6863a7ad,Jonah K,https://play-lh.googleusercontent.com/a-/ALV-UjXTRBRJPj-iOlSI6HJtjul612xcWV3PudJxdcdQbpuMPtxRwZfR,just remove the recommended songs thing I craft my perfect playlist then boom some random song that has nothing to do with my interests.,1,0,9.0.62.622,2025-07-26 00:22:14,,,9.0.62.622,just remove the recommended songs thing I craft my perfect playlist then boom some random song that has nothing to do with my interests.,just remove the recommended songs thing i craft my perfect playlist then boom some random song that has nothing to do with my interests,remove recommended thing craft perfect playlist boom random nothing interests,0.7579,positive
75a586b6-8751-4322-ada2-ec64a41c4e09,Samit Paul,https://play-lh.googleusercontent.com/a-/ALV-UjV1OneucNpHSlmh2c3GfeU7KPwTyvI2k3-K9hZaYu9LJhmyDfjr,very good,5,0,9.0.62.622,2025-07-25 23:07:52,,,9.0.62.622,very good,very good,good,0.4927,positive
67aabc79-ef4f-4224-9c11-871c4e62dafe,Ighekpe Jesse,https://play-lh.googleusercontent.com/a-/ALV-UjW_GborwggPmslFcooDW3ecgx1-rURBc9ONL2NFh3SOl-Y55UnU,sensational,5,0,9.0.62.622,2025-07-25 18:48:17,,,9.0.62.622,sensational,sensational,sensational,0.0,neutral
07fc1bd9-64d3-4732-854c-15f43226abba,Billy Ismael,https://play-lh.googleusercontent.com/a/ACg8ocKgxtMxjhdbocqc6i_jN8J25M1YS1gREHHvOoNi9tyOwMGAUQ=mo,👍👍👍👍,5,0,9.0.62.622,2025-07-25 22:40:44,,,9.0.62.622,👍👍👍👍,,,0.0,neutral
7655a92d-7f76-4fd8-a5d6-cb0d6863a7ad,Jonah K,https://play-lh.googleusercontent.com/a-/ALV-UjXTRBRJPj-iOlSI6HJtjul612xcWV3PudJxdcdQbpuMPtxRwZfR,just remove the recommended songs thing I craft my perfect playlist then boom some random song that has nothing to do with my interests.,1,0,9.0.62.622,2025-07-26 00:22:14,,,9.0.62.622,just remove the recommended songs thing I craft my perfect playlist then boom some random song that has nothing to do with my interests.,just remove the recommended songs thing i craft my perfect playlist then boom some random song that has nothing to do with my interests,remove recommended thing craft perfect playlist boom random nothing interests,0.7579,positive
c63f3e39-ff02-47aa-aecc-4af1187b7996,Hector Huerta,https://play-lh.googleusercontent.com/a/ACg8ocIFmG5Z-cwGlpI3ex6FAdIdT3ux6VXDgUWsstxrzvcoaG_p=mo,awesome,5,0,9.0.62.622,2025-07-25 17:17:31,,,9.0.62.622,awesome,awesome,awesome,0.6249,positive
a877a11f-9c68-48b1-813f-bd97120ed1fc,Bob Obla,https://play-lh.googleusercontent.com/a/ACg8ocI0SKqmEZKqtdHkQLRc__eubpD7-iDdm8WQqr5gVp1Kp33LWA=mo,Spotify runs a solid system,5,0,9.0.62.622,2025-07-25 20:53:19,,,9.0.62.622,Spotify runs a solid system,spotify runs a solid system,runs solid system,0.1531,positive
2443984b-3806-477c-bd14-953202d348b0,Jesse Corn,https://play-lh.googleusercontent.com/a/ACg8ocIrtjhXwG8gGBSN2caTFL0DGMXjoAf445eCmbIPnJHrAqV6XQ=mo,as long as I have worship music:::; ),5,0,9.0.62.622,2025-07-25 23:42:18,,,9.0.62.622,as long as I have worship music:::; ),as long as i have worship music,long worship,0.296,positive
