reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion,content_vader,content_ml,sentiment_score,sentiment_label
5f87fcb0-39ec-4bce-9171-dcf4aab293f7,Edikan Victor,https://play-lh.googleusercontent.com/a/ACg8ocIwAaslpeJSH2cKhkP1RgyOWJa4UtWvWpnWaMRQIBKSRMDE9A=mo,I love this app. It allows you to play songs in the background on the free version,5,0,9.0.62.622,2025-07-24 14:31:48,,,9.0.62.622,I love this app. It allows you to play songs in the background on the free version,i love this app it allows you to play songs in the background on the free version,0.872,positive
3705585c-74ef-488d-8848-a7c35ea538bc,Devio Doussey,https://play-lh.googleusercontent.com/a-/ALV-UjXuHtZfErFCW6fT36f_eZHZ2ck1RXS9eVisW7OGzfmQWSQWZ7cQ,This is a very good app but there's something little I noticed. The app isn't truly Fullscreen on Android . There's a black bar at the top that ruins the immersive experience. Other apps and even Spotify on iOS use the full screen properly. Please fix this and add a true fullscreen for Android.,4,0,9.0.62.622,2025-07-24 13:33:28,,,9.0.62.622,This is a very good app but there's something little I noticed. The app isn't truly Fullscreen on Android . There's a black bar at the top that ruins the immersive experience. Other apps and even Spotify on iOS use the full screen properly. Please fix this and add a true fullscreen for Android.,this is a very good app but theres something little i noticed the app isnt truly fullscreen on android theres a black bar at the top that ruins the immersive experience other apps and even spotify on ios use the full screen properly please fix this and add a true fullscreen for android,0.4566,positive
b7339f8c-75fb-47e2-a9f1-f2cec5d418dd,Brett Ward,https://play-lh.googleusercontent.com/a/ACg8ocLb8oWYPFnGjUqC9-P1OEw4bGDGwRxho-3fjbn89YycXNDUWg=mo,👍,5,0,9.0.62.622,2025-07-24 13:39:20,,,9.0.62.622,👍,,0.0,neutral
3c1323cf-05ee-48dd-a534-d410f0127207,Janvier Niyonkuru,https://play-lh.googleusercontent.com/a/ACg8ocJgWUHuu4oxGBveadBr7PvCfIpZw6iI_LwXnqMtMwj7pE085A=mo,"Feel like I'm being punished for using the free version. Frequent ads and almost allowed no single function to use while playing. Otherwise, great.",2,1,9.0.62.622,2025-07-24 12:32:42,,,9.0.62.622,"Feel like I'm being punished for using the free version. Frequent ads and almost allowed no single function to use while playing. Otherwise, great.",feel like im being punished for using the free version frequent ads and almost allowed no single function to use while playing otherwise great,0.7769,positive
e85a4077-3ee0-45f6-87dd-dcafbda1c48e,Chandni Singh,https://play-lh.googleusercontent.com/a/ACg8ocKMqPOZUjGfvVn6JBqg-G1ZgtitNheiorKtbEYdyvCl57dcZ0c=mo,very good,5,0,9.0.62.622,2025-07-24 13:17:23,,,9.0.62.622,very good,very good,0.4927,positive
9bcfa9db-9e13-4ee0-abdb-cf8eb59d244b,ConnieTheSigma,https://play-lh.googleusercontent.com/a-/ALV-UjX3QWNd-6hlEAgzw5yxhhYjmWq5LPoy0JElaq6kvgFZbMmhchL3,"the app is honestly great and all but I hate the fact how after almost every song there's like 3 ads. I also think it's unfair how people with phones can't turn off shuffle but people with laptops or iPad can. I also hate how it sometimes plays songs that aren't in my Playlist, especially when it's a soundtrack of like a musical or something, it gets extremely annoying. But other than that, the app is great.",3,0,9.0.62.622,2025-07-24 12:03:03,,,9.0.62.622,"the app is honestly great and all but I hate the fact how after almost every song there's like 3 ads. I also think it's unfair how people with phones can't turn off shuffle but people with laptops or iPad can. I also hate how it sometimes plays songs that aren't in my Playlist, especially when it's a soundtrack of like a musical or something, it gets extremely annoying. But other than that, the app is great.",the app is honestly great and all but i hate the fact how after almost every song theres like 3 ads i also think its unfair how people with phones cant turn off shuffle but people with laptops or ipad can i also hate how it sometimes plays songs that arent in my playlist especially when its a soundtrack of like a musical or something it gets extremely annoying but other than that the app is great,-0.4659,negative
0e2bd073-1760-4c89-84e7-04c85ed2be78,arvind,https://play-lh.googleusercontent.com/a-/ALV-UjW4tSBY_PpA_2eK6rRGTPgtHPO_pZOBvomGJ1tVh045YtDycTTE,RAVINDRA SIR,3,0,9.0.62.622,2025-07-24 13:11:43,,,9.0.62.622,RAVINDRA SIR,ravindra sir,0.0,neutral
48265877-91a2-4d69-8e03-8291ad453df8,Shabbir Ghadiyali,https://play-lh.googleusercontent.com/a/ACg8ocI7lVa-ygjmGtN65hPbh0ah0Wu_IITCTHVdnc3F_l1st5_zzA=mo,good,5,0,9.0.62.622,2025-07-24 15:13:54,,,9.0.62.622,good,good,0.4404,positive
ee41418b-ad9d-448c-a194-62cdfb80b1cc,Jordan (BOMMaverick),https://play-lh.googleusercontent.com/a/ACg8ocIiA9xBZMUWXJBYBCSpdSxcWWORgU1kvpRpb5zf_8iYlDyeTA=mo,3 stars cause ads are too frequent,3,0,9.0.62.622,2025-07-24 15:16:22,,,9.0.62.622,3 stars cause ads are too frequent,3 stars cause ads are too frequent,0.0,neutral
fe70888f-8ca8-405b-9774-360004a86603,muška,https://play-lh.googleusercontent.com/a-/ALV-UjWanPKHnyA6qIav7mHNqntPrG2XCCP5rLiAC6rF217s83Afk9cX,miluju,5,0,9.0.62.622,2025-07-24 15:03:09,,,9.0.62.622,miluju,miluju,0.0,neutral
f1cc9342-1eb7-41d4-b02d-535fe789bd11,Shourya Singh,https://play-lh.googleusercontent.com/a/ACg8ocJLY9JE-sejfL1woRoa-syUyngPu0iL389diV8QW7reh7jhJw=mo,It's a very good app,5,0,9.0.62.622,2025-07-24 14:05:51,,,9.0.62.622,It's a very good app,its a very good app,0.4927,positive
3fb050a1-00ec-4305-afb6-4930e8507483,Sushma Jaswal,https://play-lh.googleusercontent.com/a/ACg8ocIhr63cRJ3oVQiOgbtwIIiKURfe5D4P0HgfdqtrUaGjEMbTsw=mo,awesome,5,0,9.0.62.622,2025-07-24 11:33:24,,,9.0.62.622,awesome,awesome,0.6249,positive
a88e50e6-e7dd-44c5-a00d-fcf768f1c067,Brianna,https://play-lh.googleusercontent.com/a/ACg8ocKZj-qe2F1SijlQ_EE2QOakKzEccVHqlkL2leVPYud9I2ftLA=mo,very good,5,0,9.0.62.622,2025-07-24 13:31:00,,,9.0.62.622,very good,very good,0.4927,positive
9b433b9f-54c9-4f2e-90e1-a2f1ebc0e150,Angela Brown,https://play-lh.googleusercontent.com/a-/ALV-UjX5zO5LrMG6nV2-KDhbiFwfegXKthZrVaQSPbtl1bp8NGFhmLK_,amazing i love it so much,5,0,9.0.62.622,2025-07-24 11:57:51,,,9.0.62.622,amazing i love it so much,amazing i love it so much,0.8402,positive
7067f5e3-bb88-48be-880b-c6a985c87bde,Andrew Clark,https://play-lh.googleusercontent.com/a-/ALV-UjVHs_kH7PsICorCHd5C2maQf0scZx7qOGeHhtD9DWaschVCv_yt,"used to be decent, but greed and stupidity have turned it into another reason to pirate. not paying 13 a month to listen to music i can get for free. can't even skip a song without paying. developers are money grubbing bottom feeders. recomend deleting this app and finding another way to listen to your music. there are tons of cheaper and even free ways to listen to music.",1,0,9.0.62.622,2025-07-24 14:25:47,,,9.0.62.622,"used to be decent, but greed and stupidity have turned it into another reason to pirate. not paying 13 a month to listen to music i can get for free. can't even skip a song without paying. developers are money grubbing bottom feeders. recomend deleting this app and finding another way to listen to your music. there are tons of cheaper and even free ways to listen to music.",used to be decent but greed and stupidity have turned it into another reason to pirate not paying 13 a month to listen to music i can get for free cant even skip a song without paying developers are money grubbing bottom feeders recomend deleting this app and finding another way to listen to your music there are tons of cheaper and even free ways to listen to music,0.3612,positive
98b5fa2a-f63a-4591-9e89-41e4be95048e,Ashlesha Tiwari,https://play-lh.googleusercontent.com/a-/ALV-UjX-KJCtaiLP-GOS3w3dXWN_BtyRIMCPCjkEm8BpJ5_y_QQGmXI,"besttt, what i do without Spotify>>>>",5,0,9.0.62.622,2025-07-24 12:31:32,,,9.0.62.622,"besttt, what i do without Spotify>>>>",besttt what i do without spotify,0.0,neutral
833d8a2c-38d7-4dfb-ba9f-05ac727f5d05,Jared Marcus Mejorada,https://play-lh.googleusercontent.com/a-/ALV-UjUw0OFnYozCHQUvDQsPpFzNloepi2h1pMFMm9QXC-kjBlxXx9g,"They try anything to try and get you to download premium, they are too greedy and even youtube music is better than this, i cant even tap a song without a pop up saying "" oh you need premium to select musics you want to play"" like bro just let me be, you will lose more users meaning you will lose more money, greedy app.",1,0,9.0.62.622,2025-07-24 14:48:54,,,9.0.62.622,"They try anything to try and get you to download premium, they are too greedy and even youtube music is better than this, i cant even tap a song without a pop up saying "" oh you need premium to select musics you want to play"" like bro just let me be, you will lose more users meaning you will lose more money, greedy app.",they try anything to try and get you to download premium they are too greedy and even youtube music is better than this i cant even tap a song without a pop up saying oh you need premium to select musics you want to play like bro just let me be you will lose more users meaning you will lose more money greedy app,-0.2911,negative
7da5ae0e-7442-404a-87f8-d710afa079dd,Shivanand Yadav,https://play-lh.googleusercontent.com/a-/ALV-UjWw0D9CmPX_IE9BpV49f_QAnXkxOB62RRbX_ABwJgCeBnIynP0,improve,1,1,9.0.62.622,2025-07-24 11:35:46,,,9.0.62.622,improve,improve,0.4404,positive
d0c78f79-f6b7-4b4f-8f3a-3e4f4ee2a1a7,Rayhan Morol,https://play-lh.googleusercontent.com/a-/ALV-UjWzCQlO8-e-fgzqfl9yQOINnoELOm7wtHSjPtrz-liZshC0n7A,Just Amazing,5,0,9.0.62.622,2025-07-24 14:47:27,,,9.0.62.622,Just Amazing,just amazing,0.5859,positive
b17ff58e-696f-4979-893a-96d0e8ce304e,Lerato Prudence,https://play-lh.googleusercontent.com/a-/ALV-UjVh2tU7YyNG1sjSthK7rbXG-0zg5I8NJbZbDI93ocv2FmWz6I8,exceptional,5,0,9.0.62.622,2025-07-24 11:12:46,,,9.0.62.622,exceptional,exceptional,0.0,neutral
30273f4c-6892-4d8c-8aec-8d68618fd7d8,Lori Fisher,https://play-lh.googleusercontent.com/a/ACg8ocKQSprMSIbFWyIawYcJPCSRHdt04BGfeOSCr2u2beSvAAB7ee4=mo,Love it!!!,5,0,9.0.62.622,2025-07-24 13:27:13,,,9.0.62.622,Love it!!!,love it,0.7249,positive
e8e04152-3e42-4820-8f46-4ab40481a746,Arpit Maurya,https://play-lh.googleusercontent.com/a-/ALV-UjV1No8nzWhdOhitNdWqiDXJ2geDuUiLpVbP07uXihBGRfjqGDG-Rw,nice,5,0,9.0.62.622,2025-07-24 12:26:48,,,9.0.62.622,nice,nice,0.4215,positive
1d11835e-9e3c-4fc1-b386-1198a7888148,Iliqn Kijev,https://play-lh.googleusercontent.com/a/ACg8ocLnifFyqDVDApH48PnYHUimlzueNko8Cq72Db2YqS2chMYMPg=mo,"the best app ever, I swear bro this is a game changer",5,0,9.0.62.622,2025-07-24 15:11:34,,,9.0.62.622,"the best app ever, I swear bro this is a game changer",the best app ever i swear bro this is a game changer,0.6124,positive
da71a66c-4764-41dc-bcda-e3ffffa2a76c,CANSU ERALP,https://play-lh.googleusercontent.com/a-/ALV-UjXRS5ek1hplgq6HkxpSv21l9NY-2ymOerPznmns0HaTqkMjNm6v,"ok some ads are about premium, man if people don't want to buy premium or can't for some reason let them! stop forcing people to buy premium! they know what it does. and 20-30 ads deserve to be removed since its SOO LONG. And imagine getting those ads 2 times...",2,6,9.0.62.622,2025-07-24 14:08:49,"Hi! We'll pass this on to our Ads team. Have you tried a quick reinstall? If that doesn't help, you should give our Customer Service a shout. You can find them by heading to support.spotify.com and searching ""Contact us"". They'll help you report on the ad frequency.",2025-07-24 16:53:38,9.0.62.622,"ok some ads are about premium, man if people don't want to buy premium or can't for some reason let them! stop forcing people to buy premium! they know what it does. and 20-30 ads deserve to be removed since its SOO LONG. And imagine getting those ads 2 times...",ok some ads are about premium man if people dont want to buy premium or cant for some reason let them stop forcing people to buy premium they know what it does and 2030 ads deserve to be removed since its soo long and imagine getting those ads 2 times,-0.2037,negative
8f60a436-7467-460e-bbfb-60b4e86cedf4,emma bbg,https://play-lh.googleusercontent.com/a-/ALV-UjVaz5Xh3mp3tFyd7i-95P65lDmUNuIyNKgvCuoAvaD8sQgktURjPg,"i got the family premium plan while it was on sale so with pricing id say i got pretty lucky. the quality of spotify is amazing, especially with the ability to adjust quality and volume playback within the app. the amount of features you get within spotify for free, like spotify wrapped and other limited - time events ( playlist in a bottle, the fortune telling one, etc. ) are super fun and add to the app. i have no negatives for spotify other than bringing back playlist in a bottle !",5,0,9.0.62.622,2025-07-24 13:54:55,,,9.0.62.622,"i got the family premium plan while it was on sale so with pricing id say i got pretty lucky. the quality of spotify is amazing, especially with the ability to adjust quality and volume playback within the app. the amount of features you get within spotify for free, like spotify wrapped and other limited - time events ( playlist in a bottle, the fortune telling one, etc. ) are super fun and add to the app. i have no negatives for spotify other than bringing back playlist in a bottle !",i got the family premium plan while it was on sale so with pricing id say i got pretty lucky the quality of spotify is amazing especially with the ability to adjust quality and volume playback within the app the amount of features you get within spotify for free like spotify wrapped and other limited time events playlist in a bottle the fortune telling one etc are super fun and add to the app i have no negatives for spotify other than bringing back playlist in a bottle,0.9704,positive
686bc723-8e43-409e-bbf9-e5dafb737356,Khushi Shankhwar,https://play-lh.googleusercontent.com/a-/ALV-UjVyph_yDMin7SCr5WSaJbxZODLPUspBoM1Pq18IKxi6V_nCwtHd,poor,1,1,9.0.62.622,2025-07-24 12:46:42,,,9.0.62.622,poor,poor,-0.4767,negative
2a71e34e-fe23-4013-9094-46a56a287158,jhasaketan khamari,https://play-lh.googleusercontent.com/a-/ALV-UjX2BB1x_st3HGEgA2ozbMoSyiBftaLqI9PBMuZx9Glr7Ehcrhb0hg,nice 👍,5,0,9.0.62.622,2025-07-24 14:43:34,,,9.0.62.622,nice 👍,nice,0.4215,positive
